cc_card_last4,bank_txn_id,bank_date,bank_amount,current_allocated_to_wave,fifo_allocated_to_wave,delta_allocated,current_coverage_pct,fifo_coverage_pct
8154,1157,2024-04-12,667.47,667.47,667.47,0.00,100.0,100.0
8154,1158,2024-04-12,168.62,0.00,0.00,0.00,0.0,0.0
8154,1116,2024-05-07,31.94,0.00,0.00,0.00,0.0,0.0
8154,1117,2024-05-07,62.84,0.00,0.00,0.00,0.0,0.0
8154,1111,2024-05-09,858.30,0.00,0.00,0.00,0.0,0.0
8154,1098,2024-05-27,80.86,0.00,0.00,0.00,0.0,0.0
8154,1068,2024-08-19,1080.39,0.00,0.00,0.00,0.0,0.0
8154,1053,2024-09-03,130.54,0.00,0.00,0.00,0.0,0.0
8154,1056,2024-09-03,1390.42,0.00,0.00,0.00,0.0,0.0
8154,1049,2024-09-05,336.40,0.00,0.00,0.00,0.0,0.0
8154,1039,2024-09-09,14.42,0.00,0.00,0.00,0.0,0.0
8154,1040,2024-09-09,38.45,0.00,0.00,0.00,0.0,0.0
8154,1020,2024-09-18,321.65,0.00,0.00,0.00,0.0,0.0
8154,1021,2024-09-18,248.44,0.00,0.00,0.00,0.0,0.0
8154,1022,2024-09-18,159.35,0.00,0.00,0.00,0.0,0.0
8154,1024,2024-09-18,63.03,0.00,0.00,0.00,0.0,0.0
8154,1009,2024-09-23,334.42,0.00,0.00,0.00,0.0,0.0
8154,995,2024-09-27,1781.97,0.00,1665.98,1665.98,0.0,93.5
8154,996,2024-09-27,1114.45,0.00,0.00,0.00,0.0,0.0
8154,980,2024-10-01,807.55,807.55,0.00,-807.55,100.0,0.0
8154,982,2024-10-01,355.22,0.00,0.00,0.00,0.0,0.0
8154,985,2024-10-01,130.54,0.00,0.00,0.00,0.0,0.0
8154,986,2024-10-01,91.98,0.00,0.00,0.00,0.0,0.0
8154,975,2024-10-02,56.33,0.00,0.00,0.00,0.0,0.0
8154,966,2024-10-07,2083.23,0.00,0.00,0.00,0.0,0.0
8154,967,2024-10-07,15.76,0.00,0.00,0.00,0.0,0.0
8154,968,2024-10-07,932.33,0.00,0.00,0.00,0.0,0.0
