cc_card_last4,bank_txn_id,bank_date,bank_amount,prev_payment_date,period_wave_matched_purchases,allocated_to_wave_any,allocated_cc_alloc_v1,allocated_manual_split_v1,period_minus_allocated,bank_minus_allocated,bank_description
0318,1250,2024-03-06,43.52,2024-03-06,0.00,43.52,43.52,0.00,-43.52,0.00,Internet Banking INTERNET TRANSFER000000213543 4500*********318
0318,1252,2024-03-06,21.30,2024-03-06,0.00,21.30,21.30,0.00,-21.30,0.00,Internet Banking INTERNET TRANSFER000000212677 4500*********318
0318,1235,2024-03-11,21.94,2024-03-06,21.94,21.94,21.94,0.00,0.00,0.00,Internet Banking INTERNET TRANSFER000000212772 4500*********318
0318,1204,2024-03-20,54.21,2024-03-11,586.93,54.21,54.21,0.00,532.72,0.00,Internet Banking INTERNET TRANSFER000000121073 4500*********318
0318,1205,2024-03-20,43.83,2024-03-20,0.00,43.83,43.83,0.00,-43.83,0.00,Internet Banking INTERNET TRANSFER000000120285 4500*********318
0318,1206,2024-03-20,227.43,2024-03-20,0.00,227.43,227.43,0.00,-227.43,0.00,Internet Banking INTERNET TRANSFER000000113688 4500*********318
0318,1207,2024-03-20,182.39,2024-03-20,0.00,182.39,182.39,0.00,-182.39,0.00,Internet Banking INTERNET TRANSFER000000135967 4500*********318
0318,1208,2024-03-20,133.28,2024-03-20,0.00,133.28,133.28,0.00,-133.28,0.00,Internet Banking INTERNET TRANSFER000000135533 4500*********318
0318,1193,2024-03-25,41.18,2024-03-20,331.95,41.18,41.18,0.00,290.77,0.00,Internet Banking INTERNET TRANSFER000000105487 4500*********318
0318,1194,2024-03-25,236.56,2024-03-25,0.00,236.56,236.56,0.00,-236.56,0.00,Internet Banking INTERNET TRANSFER000000118582 4500*********318
0318,1144,2024-04-16,136.11,2024-03-25,312.55,0.00,0.00,0.00,312.55,136.11,Internet Banking INTERNET TRANSFER000000139430 4500*********318
0318,1145,2024-04-16,29.88,2024-04-16,0.00,29.88,29.88,0.00,-29.88,0.00,Internet Banking INTERNET TRANSFER000000113021 4500*********318
0318,1146,2024-04-16,35.15,2024-04-16,0.00,35.15,35.15,0.00,-35.15,0.00,Internet Banking INTERNET TRANSFER000000112735 4500*********318
0318,1147,2024-04-16,231.21,2024-04-16,0.00,0.00,0.00,0.00,0.00,231.21,Internet Banking INTERNET TRANSFER000000127847 4500*********318
0318,1135,2024-04-22,65.49,2024-04-16,94.41,65.49,65.49,0.00,28.92,0.00,Internet Banking INTERNET TRANSFER000000131705 4500*********318
0318,1136,2024-04-22,28.92,2024-04-22,0.00,28.92,28.92,0.00,-28.92,0.00,Internet Banking INTERNET TRANSFER000000131323 4500*********318
