wave_bill_id,entry_date,bill_total,bill_total_cents,settlement_amount,settlement_amount_cents,match_type,bank_txn_id,cc_txn_id,shareholder_code,shareholder_basis,journal_entry_id
206,2024-02-16,961.43,96143,961.43,96143,CC_PURCHASE,,1267,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_206
208,2024-02-16,105.54,10554,105.54,10554,CC_PURCHASE,,1268,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_208
210,2024-02-16,2249.31,224931,2249.31,224931,CC_PURCHASE,,3852,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_210
211,2024-02-20,59.96,5996,59.96,5996,CC_PURCHASE,,1264,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_211
217,2024-02-20,119.82,11982,119.82,11982,CC_PURCHASE,,1259,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_217
218,2024-02-20,381.01,38101,381.01,38101,CC_PURCHASE,,1258,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_218
219,2024-02-20,51.30,5130,51.30,5130,CC_PURCHASE,,1256,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_219
226,2024-02-26,98.97,9897,98.97,9897,CC_PURCHASE,,3839,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_226
227,2024-02-26,47.96,4796,47.96,4796,CC_PURCHASE,,1239,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_227
228,2024-02-26,29.95,2995,29.95,2995,CC_PURCHASE,,1240,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_228
229,2024-02-26,59.88,5988,59.88,5988,CC_PURCHASE,,1235,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_229
231,2024-02-28,1665.98,166598,1665.98,166598,CC_PURCHASE,,3829,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_231
234,2024-03-04,43.52,4352,43.52,4352,CC_PURCHASE,,1219,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_234
236,2024-03-04,12.07,1207,12.07,1207,CC_PURCHASE,,1218,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_236
238,2024-03-05,21.30,2130,21.30,2130,CC_PURCHASE,,1214,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_238
242,2024-03-06,1238.76,123876,1238.76,123876,CC_PURCHASE,,3814,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_242
244,2024-03-08,807.55,80755,807.55,80755,CC_PURCHASE,,3808,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_244
246,2024-05-07,31.94,3194,31.94,3194,CC_PAYMENT_TRANSFER,1116,,2410,cc_payment_links,WAVE_BILL_CC_SETTLE_246
248,2024-03-11,21.94,2194,21.94,2194,CC_PURCHASE,,1205,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_248
255,2024-03-14,1612.59,161259,1612.59,161259,CC_PURCHASE,,3805,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_255
256,2024-03-14,632.49,63249,632.49,63249,CC_PURCHASE,,3802,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_256
259,2024-03-18,80.86,8086,80.86,8086,CC_PURCHASE,,3795,2410,cc_purchase_assumed_dwayne,WAVE_BILL_CC_SETTLE_259
