id,bank_txn_id,target_type,target_id,amount_cents,notes,created_at
107,610,WAVE_BILL,577,12189,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3108 cc_purchase_txn_id=3130,2026-01-21 17:59:31
108,609,WAVE_BILL,508,6000,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=3109 cc_purchase_txn_id=3280,2026-01-21 17:59:31
109,555,WAVE_BILL,604,60167,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=572 cc_purchase_txn_id=598,2026-01-21 17:59:31
110,556,WAVE_BILL,606,32965,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=573 cc_purchase_txn_id=593,2026-01-21 17:59:31
111,559,WAVE_BILL,607,15541,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=574 cc_purchase_txn_id=592,2026-01-21 17:59:31
112,560,WAVE_BILL,594,2101,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=575 cc_purchase_txn_id=623,2026-01-21 17:59:31
113,562,WAVE_BILL,614,103368,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=576 cc_purchase_txn_id=570,2026-01-21 17:59:31
114,520,WAVE_BILL,620,19324,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=528 cc_purchase_txn_id=566,2026-01-21 17:59:31
115,523,WAVE_BILL,608,2625,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=533 cc_purchase_txn_id=594,2026-01-21 17:59:31
116,524,WAVE_BILL,623,4927,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=534 cc_purchase_txn_id=556,2026-01-21 17:59:31
117,525,WAVE_BILL,621,12986,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=535 cc_purchase_txn_id=564,2026-01-21 17:59:31
118,526,WAVE_BILL,633,1561,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=536 cc_purchase_txn_id=539,2026-01-21 17:59:31
119,466,WAVE_BILL,653,8008,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=485 cc_purchase_txn_id=503,2026-01-21 17:59:31
120,464,WAVE_BILL,656,11086,CC_ALLOC_V1 method=PAYMENT_SINGLE_EXACT_V1 cc_payment_txn_id=486 cc_purchase_txn_id=500,2026-01-21 17:59:31
